Durchführungsweg, Art der Rückdeckung,Tarif,Zuzahlung_zu_Beginn,Beitrag_40b,Beitrag_363,Finanzierungsart,AN_Beitrag,AG_Beitrag
Durchführungsweg, Art der Rückdeckung,FR20,2000,2148,2068,Mischfinanziert,0,0
Durchführungsweg, Art der Rückdeckung,FR20,2000,2149,0,AN-finanziert,0,0
Durchführungsweg, Art der Rückdeckung,FR20,2000,0,2068,AN-finanziert,599,0
Durchführungsweg, Art der Rückdeckung,FR20,2000,2148,4068,Mischfinanziert,599,0
Durchführungsweg, Art der Rückdeckung,FR20,2000,2149,2068,AN-finanziert,599,0
Durchführungsweg, Art der Rückdeckung,FR20,2000,0,0,Mischfinanziert,600,0
Durchführungsweg, Art der Rückdeckung,FR20,2000,2148,0,AN-finanziert,600,0
Durchführungsweg, Art der Rückdeckung,FR20,2000,2149,4068,Mischfinanziert,600,0
Durchführungsweg, Art der Rückdeckung,FR20,2000,0,2068,Mischfinanziert,1500,0
Durchführungsweg, Art der Rückdeckung,FR20,2000,2148,4068,AN-finanziert,1500,0
Durchführungsweg, Art der Rückdeckung,FR20,2000,2149,2068,Mischfinanziert,1500,0
Durchführungsweg, Art der Rückdeckung,FR20,99,0,0,Mischfinanziert,0,0
Durchführungsweg, Art der Rückdeckung,FR20,99,2148,4068,AG-finanziert,0,0
Durchführungsweg, Art der Rückdeckung,FR20,99,2149,2068,AN-finanziert,0,0
Durchführungsweg, Art der Rückdeckung,FR20,99,0,2068,Mischfinanziert,599,0
Durchführungsweg, Art der Rückdeckung,FR20,99,2148,0,Mischfinanziert,599,0
Durchführungsweg, Art der Rückdeckung,FR20,99,2149,4068,AN-finanziert,599,0
Durchführungsweg, Art der Rückdeckung,FR20,99,0,4068,AN-finanziert,600,0
Durchführungsweg, Art der Rückdeckung,FR20,99,2148,2068,Mischfinanziert,600,0
Durchführungsweg, Art der Rückdeckung,FR20,99,2149,0,AN-finanziert,600,0
Durchführungsweg, Art der Rückdeckung,FR20,99,0,0,Mischfinanziert,1500,0
Durchführungsweg, Art der Rückdeckung,FR20,99,2148,2068,AN-finanziert,1500,0
Durchführungsweg, Art der Rückdeckung,FR20,99,2149,4068,AN-finanziert,1500,0
Durchführungsweg, Art der Rückdeckung,HR20,0,0,4068,AG-finanziert,0,0
Durchführungsweg, Art der Rückdeckung,HR20,0,2148,0,AN-finanziert,0,0
Durchführungsweg, Art der Rückdeckung,HR20,0,2149,2068,Mischfinanziert,0,0
Durchführungsweg, Art der Rückdeckung,HR20,0,0,0,AN-finanziert,599,0
Durchführungsweg, Art der Rückdeckung,HR20,0,2148,4068,Mischfinanziert,599,0
Durchführungsweg, Art der Rückdeckung,HR20,0,2149,2068,AN-finanziert,599,0
Durchführungsweg, Art der Rückdeckung,HR20,0,0,2068,Mischfinanziert,600,0
Durchführungsweg, Art der Rückdeckung,HR20,0,2148,2068,AN-finanziert,600,0
Durchführungsweg, Art der Rückdeckung,HR20,0,2149,4068,AN-finanziert,600,0
Durchführungsweg, Art der Rückdeckung,HR20,0,0,2068,AN-finanziert,1500,0
Durchführungsweg, Art der Rückdeckung,HR20,0,2148,0,Mischfinanziert,1500,0
Durchführungsweg, Art der Rückdeckung,HR20,0,2149,4068,Mischfinanziert,1500,0
Durchführungsweg, Art der Rückdeckung,HR20,2000,0,0,AG-finanziert,0,0
Durchführungsweg, Art der Rückdeckung,HR20,2000,2148,4068,AN-finanziert,0,0
Durchführungsweg, Art der Rückdeckung,HR20,2000,2149,2068,AG-finanziert,0,0
Durchführungsweg, Art der Rückdeckung,HR20,2000,0,4068,Mischfinanziert,599,0
Durchführungsweg, Art der Rückdeckung,HR20,2000,2148,0,AN-finanziert,599,0
Durchführungsweg, Art der Rückdeckung,HR20,2000,2149,4068,AN-finanziert,599,0
Durchführungsweg, Art der Rückdeckung,HR20,2000,0,2068,AN-finanziert,600,0
Durchführungsweg, Art der Rückdeckung,HR20,2000,2148,4068,Mischfinanziert,600,0
Durchführungsweg, Art der Rückdeckung,HR20,2000,2149,0,Mischfinanziert,600,0
Durchführungsweg, Art der Rückdeckung,HR20,2000,0,0,Mischfinanziert,1500,0
Durchführungsweg, Art der Rückdeckung,HR20,2000,2148,2068,AN-finanziert,1500,0
Durchführungsweg, Art der Rückdeckung,HR20,2000,2149,4068,AN-finanziert,1500,0
Durchführungsweg, Art der Rückdeckung,HR20,99,0,2068,AG-finanziert,0,0
Durchführungsweg, Art der Rückdeckung,HR20,99,2148,0,AG-finanziert,0,0
Durchführungsweg, Art der Rückdeckung,HR20,99,2149,4068,Mischfinanziert,0,0
Durchführungsweg, Art der Rückdeckung,HR20,99,0,0,AN-finanziert,599,0
Durchführungsweg, Art der Rückdeckung,HR20,99,2148,2068,Mischfinanziert,599,0
Durchführungsweg, Art der Rückdeckung,HR20,99,2149,0,Mischfinanziert,599,0
Durchführungsweg, Art der Rückdeckung,HR20,99,0,4068,Mischfinanziert,600,0
Durchführungsweg, Art der Rückdeckung,HR20,99,2148,0,AN-finanziert,600,0
Durchführungsweg, Art der Rückdeckung,HR20,99,2149,2068,AN-finanziert,600,0
Durchführungsweg, Art der Rückdeckung,HR20,99,0,4068,AN-finanziert,1500,0
Durchführungsweg, Art der Rückdeckung,HR20,99,2148,4068,Mischfinanziert,1500,0
Durchführungsweg, Art der Rückdeckung,HR20,99,2149,0,AN-finanziert,1500,0
Durchführungsweg, Art der Rückdeckung,AREven,0,0,2068,Mischfinanziert,0,599
Durchführungsweg, Art der Rückdeckung,AREven,0,2148,0,AG-finanziert,0,599
Durchführungsweg, Art der Rückdeckung,AREven,0,2149,2068,AG-finanziert,0,599
Durchführungsweg, Art der Rückdeckung,AREven,0,0,0,Mischfinanziert,599,599
Durchführungsweg, Art der Rückdeckung,AREven,0,2148,2068,Mischfinanziert,599,599
Durchführungsweg, Art der Rückdeckung,AREven,0,2149,4068,Mischfinanziert,599,599
Durchführungsweg, Art der Rückdeckung,AREven,0,0,0,Mischfinanziert,600,599
Durchführungsweg, Art der Rückdeckung,AREven,0,2148,4068,Mischfinanziert,600,599
Durchführungsweg, Art der Rückdeckung,AREven,0,2149,0,Mischfinanziert,600,599
Durchführungsweg, Art der Rückdeckung,AREven,0,0,4068,Mischfinanziert,1500,599
Durchführungsweg, Art der Rückdeckung,AREven,0,2148,2068,Mischfinanziert,1500,599
Durchführungsweg, Art der Rückdeckung,AREven,0,2149,0,Mischfinanziert,1500,599
Durchführungsweg, Art der Rückdeckung,AREven,2000,0,4068,AG-finanziert,0,599
Durchführungsweg, Art der Rückdeckung,AREven,2000,2148,2068,AG-finanziert,0,599
Durchführungsweg, Art der Rückdeckung,AREven,2000,2149,0,Mischfinanziert,0,599
Durchführungsweg, Art der Rückdeckung,AREven,2000,0,2068,Mischfinanziert,599,599
Durchführungsweg, Art der Rückdeckung,AREven,2000,2148,4068,Mischfinanziert,599,599
Durchführungsweg, Art der Rückdeckung,AREven,2000,2149,2068,Mischfinanziert,599,599
Durchführungsweg, Art der Rückdeckung,AREven,2000,0,0,Mischfinanziert,600,599
Durchführungsweg, Art der Rückdeckung,AREven,2000,2148,0,Mischfinanziert,600,599
Durchführungsweg, Art der Rückdeckung,AREven,2000,2149,4068,Mischfinanziert,600,599
Durchführungsweg, Art der Rückdeckung,AREven,2000,0,2068,Mischfinanziert,1500,599
Durchführungsweg, Art der Rückdeckung,AREven,2000,2148,4068,Mischfinanziert,1500,599
Durchführungsweg, Art der Rückdeckung,AREven,2000,2149,2068,Mischfinanziert,1500,599
Durchführungsweg, Art der Rückdeckung,AREven,99,0,0,AG-finanziert,0,599
Durchführungsweg, Art der Rückdeckung,AREven,99,2148,4068,Mischfinanziert,0,599
Durchführungsweg, Art der Rückdeckung,AREven,99,2149,2068,Mischfinanziert,0,599
Durchführungsweg, Art der Rückdeckung,AREven,99,0,2068,Mischfinanziert,599,599
Durchführungsweg, Art der Rückdeckung,AREven,99,2148,0,Mischfinanziert,599,599
Durchführungsweg, Art der Rückdeckung,AREven,99,2149,4068,Mischfinanziert,599,599
Durchführungsweg, Art der Rückdeckung,AREven,99,0,4068,Mischfinanziert,600,599
Durchführungsweg, Art der Rückdeckung,AREven,99,2148,2068,Mischfinanziert,600,599
Durchführungsweg, Art der Rückdeckung,AREven,99,2149,0,Mischfinanziert,600,599
Durchführungsweg, Art der Rückdeckung,AREven,99,0,0,Mischfinanziert,1500,599
Durchführungsweg, Art der Rückdeckung,AREven,99,2148,2068,Mischfinanziert,1500,599
Durchführungsweg, Art der Rückdeckung,AREven,99,2149,4068,Mischfinanziert,1500,599
Durchführungsweg, Art der Rückdeckung,FR20,0,0,0,AG-finanziert,0,599
Durchführungsweg, Art der Rückdeckung,FR20,0,2148,2068,Mischfinanziert,0,599
Durchführungsweg, Art der Rückdeckung,FR20,0,2149,4068,AG-finanziert,0,599
Durchführungsweg, Art der Rückdeckung,FR20,0,0,2068,Mischfinanziert,599,599
Durchführungsweg, Art der Rückdeckung,FR20,0,2148,0,Mischfinanziert,599,599
Durchführungsweg, Art der Rückdeckung,FR20,0,2149,0,Mischfinanziert,599,599
Durchführungsweg, Art der Rückdeckung,FR20,0,0,4068,Mischfinanziert,600,599
Durchführungsweg, Art der Rückdeckung,FR20,0,2148,2068,Mischfinanziert,600,599
Durchführungsweg, Art der Rückdeckung,FR20,0,2149,2068,Mischfinanziert,600,599
Durchführungsweg, Art der Rückdeckung,FR20,0,0,0,Mischfinanziert,1500,599
Durchführungsweg, Art der Rückdeckung,FR20,0,2148,4068,Mischfinanziert,1500,599
Durchführungsweg, Art der Rückdeckung,FR20,0,2149,2068,Mischfinanziert,1500,599
Durchführungsweg, Art der Rückdeckung,FR20,2000,0,2068,AG-finanziert,0,599
Durchführungsweg, Art der Rückdeckung,FR20,2000,2148,4068,AG-finanziert,0,599
Durchführungsweg, Art der Rückdeckung,FR20,2000,2149,2068,Mischfinanziert,0,599
Durchführungsweg, Art der Rückdeckung,FR20,2000,0,0,Mischfinanziert,599,599
Durchführungsweg, Art der Rückdeckung,FR20,2000,2148,2068,Mischfinanziert,599,599
Durchführungsweg, Art der Rückdeckung,FR20,2000,2149,4068,Mischfinanziert,599,599
Durchführungsweg, Art der Rückdeckung,FR20,2000,0,4068,Mischfinanziert,600,599
Durchführungsweg, Art der Rückdeckung,FR20,2000,2148,0,Mischfinanziert,600,599
Durchführungsweg, Art der Rückdeckung,FR20,2000,2149,0,Mischfinanziert,600,599
Durchführungsweg, Art der Rückdeckung,FR20,2000,0,4068,Mischfinanziert,1500,599
Durchführungsweg, Art der Rückdeckung,FR20,2000,2148,0,Mischfinanziert,1500,599
Durchführungsweg, Art der Rückdeckung,FR20,2000,2149,4068,Mischfinanziert,1500,599
Durchführungsweg, Art der Rückdeckung,FR20,99,0,4068,Mischfinanziert,0,599
Durchführungsweg, Art der Rückdeckung,FR20,99,2148,0,AG-finanziert,0,599
Durchführungsweg, Art der Rückdeckung,FR20,99,2149,0,AG-finanziert,0,599
Durchführungsweg, Art der Rückdeckung,FR20,99,0,4068,Mischfinanziert,599,599
Durchführungsweg, Art der Rückdeckung,FR20,99,2148,2068,Mischfinanziert,599,599
Durchführungsweg, Art der Rückdeckung,FR20,99,2149,2068,Mischfinanziert,599,599
Durchführungsweg, Art der Rückdeckung,FR20,99,0,0,Mischfinanziert,600,599
Durchführungsweg, Art der Rückdeckung,FR20,99,2148,4068,Mischfinanziert,600,599
Durchführungsweg, Art der Rückdeckung,FR20,99,2149,4068,Mischfinanziert,600,599
Durchführungsweg, Art der Rückdeckung,FR20,99,0,2068,Mischfinanziert,1500,599
Durchführungsweg, Art der Rückdeckung,FR20,99,2148,0,Mischfinanziert,1500,599
Durchführungsweg, Art der Rückdeckung,FR20,99,2149,0,Mischfinanziert,1500,599
Durchführungsweg, Art der Rückdeckung,HR20,0,0,2068,AG-finanziert,0,599
Durchführungsweg, Art der Rückdeckung,HR20,0,2148,4068,Mischfinanziert,0,599
Durchführungsweg, Art der Rückdeckung,HR20,0,2149,0,AG-finanziert,0,599
Durchführungsweg, Art der Rückdeckung,HR20,0,0,4068,Mischfinanziert,599,599
Durchführungsweg, Art der Rückdeckung,HR20,0,2148,2068,Mischfinanziert,599,599
Durchführungsweg, Art der Rückdeckung,HR20,0,2149,2068,Mischfinanziert,599,599
Durchführungsweg, Art der Rückdeckung,HR20,0,0,0,Mischfinanziert,600,599
Durchführungsweg, Art der Rückdeckung,HR20,0,2148,0,Mischfinanziert,600,599
Durchführungsweg, Art der Rückdeckung,HR20,0,2149,4068,Mischfinanziert,600,599
Durchführungsweg, Art der Rückdeckung,HR20,0,0,2068,Mischfinanziert,1500,599
Durchführungsweg, Art der Rückdeckung,HR20,0,2148,4068,Mischfinanziert,1500,599
Durchführungsweg, Art der Rückdeckung,HR20,0,2149,0,Mischfinanziert,1500,599
Durchführungsweg, Art der Rückdeckung,HR20,2000,0,4068,Mischfinanziert,0,599
Durchführungsweg, Art der Rückdeckung,HR20,2000,2148,0,AG-finanziert,0,599
Durchführungsweg, Art der Rückdeckung,HR20,2000,2149,4068,AG-finanziert,0,599
Durchführungsweg, Art der Rückdeckung,HR20,2000,0,2068,Mischfinanziert,599,599
Durchführungsweg, Art der Rückdeckung,HR20,2000,2148,4068,Mischfinanziert,599,599
Durchführungsweg, Art der Rückdeckung,HR20,2000,2149,0,Mischfinanziert,599,599
Durchführungsweg, Art der Rückdeckung,HR20,2000,0,2068,Mischfinanziert,600,599
Durchführungsweg, Art der Rückdeckung,HR20,2000,2148,2068,Mischfinanziert,600,599
Durchführungsweg, Art der Rückdeckung,HR20,2000,2149,2068,Mischfinanziert,600,599
Durchführungsweg, Art der Rückdeckung,HR20,2000,0,0,Mischfinanziert,1500,599
Durchführungsweg, Art der Rückdeckung,HR20,2000,2148,2068,Mischfinanziert,1500,599
Durchführungsweg, Art der Rückdeckung,HR20,2000,2149,4068,Mischfinanziert,1500,599
Durchführungsweg, Art der Rückdeckung,HR20,99,0,0,Mischfinanziert,0,599
Durchführungsweg, Art der Rückdeckung,HR20,99,2148,2068,AG-finanziert,0,599
Durchführungsweg, Art der Rückdeckung,HR20,99,2149,4068,AG-finanziert,0,599
Durchführungsweg, Art der Rückdeckung,HR20,99,0,0,Mischfinanziert,599,599
Durchführungsweg, Art der Rückdeckung,HR20,99,2148,4068,Mischfinanziert,599,599
Durchführungsweg, Art der Rückdeckung,HR20,99,2149,2068,Mischfinanziert,599,599
Durchführungsweg, Art der Rückdeckung,HR20,99,0,2068,Mischfinanziert,600,599
Durchführungsweg, Art der Rückdeckung,HR20,99,2148,0,Mischfinanziert,600,599
Durchführungsweg, Art der Rückdeckung,HR20,99,2149,0,Mischfinanziert,600,599
Durchführungsweg, Art der Rückdeckung,HR20,99,0,4068,Mischfinanziert,1500,599
Durchführungsweg, Art der Rückdeckung,HR20,99,2148,0,Mischfinanziert,1500,599
Durchführungsweg, Art der Rückdeckung,HR20,99,2149,2068,Mischfinanziert,1500,599
Durchführungsweg, Art der Rückdeckung,AREven,0,0,4068,AG-finanziert,0,600
Durchführungsweg, Art der Rückdeckung,AREven,0,2148,2068,Mischfinanziert,0,600
Durchführungsweg, Art der Rückdeckung,AREven,0,2149,0,AG-finanziert,0,600
Durchführungsweg, Art der Rückdeckung,AREven,0,0,4068,Mischfinanziert,599,600
Durchführungsweg, Art der Rückdeckung,AREven,0,2148,4068,Mischfinanziert,599,600
Durchführungsweg, Art der Rückdeckung,AREven,0,2149,2068,Mischfinanziert,599,600
Durchführungsweg, Art der Rückdeckung,AREven,0,0,2068,Mischfinanziert,600,600
Durchführungsweg, Art der Rückdeckung,AREven,0,2148,0,Mischfinanziert,600,600
Durchführungsweg, Art der Rückdeckung,AREven,0,2149,4068,Mischfinanziert,600,600
Durchführungsweg, Art der Rückdeckung,AREven,0,0,0,Mischfinanziert,1500,600
Durchführungsweg, Art der Rückdeckung,AREven,0,2148,2068,Mischfinanziert,1500,600
Durchführungsweg, Art der Rückdeckung,AREven,0,2149,4068,Mischfinanziert,1500,600
Durchführungsweg, Art der Rückdeckung,AREven,2000,0,0,Mischfinanziert,0,600
Durchführungsweg, Art der Rückdeckung,AREven,2000,2148,4068,AG-finanziert,0,600
Durchführungsweg, Art der Rückdeckung,AREven,2000,2149,2068,AG-finanziert,0,600
Durchführungsweg, Art der Rückdeckung,AREven,2000,0,2068,Mischfinanziert,599,600
Durchführungsweg, Art der Rückdeckung,AREven,2000,2148,0,Mischfinanziert,599,600
Durchführungsweg, Art der Rückdeckung,AREven,2000,2149,4068,Mischfinanziert,599,600
Durchführungsweg, Art der Rückdeckung,AREven,2000,0,4068,Mischfinanziert,600,600
Durchführungsweg, Art der Rückdeckung,AREven,2000,2148,2068,Mischfinanziert,600,600
Durchführungsweg, Art der Rückdeckung,AREven,2000,2149,0,Mischfinanziert,600,600
Durchführungsweg, Art der Rückdeckung,AREven,2000,0,0,Mischfinanziert,1500,600
Durchführungsweg, Art der Rückdeckung,AREven,2000,2148,4068,Mischfinanziert,1500,600
Durchführungsweg, Art der Rückdeckung,AREven,2000,2149,2068,Mischfinanziert,1500,600
Durchführungsweg, Art der Rückdeckung,AREven,99,0,2068,AG-finanziert,0,600
Durchführungsweg, Art der Rückdeckung,AREven,99,2148,0,Mischfinanziert,0,600
Durchführungsweg, Art der Rückdeckung,AREven,99,2149,4068,AG-finanziert,0,600
Durchführungsweg, Art der Rückdeckung,AREven,99,0,0,Mischfinanziert,599,600
Durchführungsweg, Art der Rückdeckung,AREven,99,2148,2068,Mischfinanziert,599,600
Durchführungsweg, Art der Rückdeckung,AREven,99,2149,0,Mischfinanziert,599,600
Durchführungsweg, Art der Rückdeckung,AREven,99,0,4068,Mischfinanziert,600,600
Durchführungsweg, Art der Rückdeckung,AREven,99,2148,4068,Mischfinanziert,600,600
Durchführungsweg, Art der Rückdeckung,AREven,99,2149,2068,Mischfinanziert,600,600
Durchführungsweg, Art der Rückdeckung,AREven,99,0,4068,Mischfinanziert,1500,600
Durchführungsweg, Art der Rückdeckung,AREven,99,2148,0,Mischfinanziert,1500,600
Durchführungsweg, Art der Rückdeckung,AREven,99,2149,2068,Mischfinanziert,1500,600
Durchführungsweg, Art der Rückdeckung,FR20,0,0,0,Mischfinanziert,0,600
Durchführungsweg, Art der Rückdeckung,FR20,0,2148,4068,AG-finanziert,0,600
Durchführungsweg, Art der Rückdeckung,FR20,0,2149,2068,Mischfinanziert,0,600
Durchführungsweg, Art der Rückdeckung,FR20,0,0,2068,Mischfinanziert,599,600
Durchführungsweg, Art der Rückdeckung,FR20,0,2148,0,Mischfinanziert,599,600
Durchführungsweg, Art der Rückdeckung,FR20,0,2149,4068,Mischfinanziert,599,600
Durchführungsweg, Art der Rückdeckung,FR20,0,0,4068,Mischfinanziert,600,600
Durchführungsweg, Art der Rückdeckung,FR20,0,2148,2068,Mischfinanziert,600,600
Durchführungsweg, Art der Rückdeckung,FR20,0,2149,0,Mischfinanziert,600,600
Durchführungsweg, Art der Rückdeckung,FR20,0,0,2068,Mischfinanziert,1500,600
Durchführungsweg, Art der Rückdeckung,FR20,0,2148,0,Mischfinanziert,1500,600
Durchführungsweg, Art der Rückdeckung,FR20,0,2149,4068,Mischfinanziert,1500,600
Durchführungsweg, Art der Rückdeckung,FR20,2000,0,2068,AG-finanziert,0,600
Durchführungsweg, Art der Rückdeckung,FR20,2000,2148,0,AG-finanziert,0,600
Durchführungsweg, Art der Rückdeckung,FR20,2000,2149,4068,Mischfinanziert,0,600
Durchführungsweg, Art der Rückdeckung,FR20,2000,0,4068,Mischfinanziert,599,600
Durchführungsweg, Art der Rückdeckung,FR20,2000,2148,2068,Mischfinanziert,599,600
Durchführungsweg, Art der Rückdeckung,FR20,2000,2149,0,Mischfinanziert,599,600
Durchführungsweg, Art der Rückdeckung,FR20,2000,0,0,Mischfinanziert,600,600
Durchführungsweg, Art der Rückdeckung,FR20,2000,2148,4068,Mischfinanziert,600,600
Durchführungsweg, Art der Rückdeckung,FR20,2000,2149,2068,Mischfinanziert,600,600
Durchführungsweg, Art der Rückdeckung,FR20,2000,0,0,Mischfinanziert,1500,600
Durchführungsweg, Art der Rückdeckung,FR20,2000,2148,2068,Mischfinanziert,1500,600
Durchführungsweg, Art der Rückdeckung,FR20,2000,2149,0,Mischfinanziert,1500,600
Durchführungsweg, Art der Rückdeckung,FR20,99,0,4068,AG-finanziert,0,600
Durchführungsweg, Art der Rückdeckung,FR20,99,2148,2068,AG-finanziert,0,600
Durchführungsweg, Art der Rückdeckung,FR20,99,2149,0,Mischfinanziert,0,600
Durchführungsweg, Art der Rückdeckung,FR20,99,0,0,Mischfinanziert,599,600
Durchführungsweg, Art der Rückdeckung,FR20,99,2148,4068,Mischfinanziert,599,600
Durchführungsweg, Art der Rückdeckung,FR20,99,2149,2068,Mischfinanziert,599,600
Durchführungsweg, Art der Rückdeckung,FR20,99,0,2068,Mischfinanziert,600,600
Durchführungsweg, Art der Rückdeckung,FR20,99,2148,0,Mischfinanziert,600,600
Durchführungsweg, Art der Rückdeckung,FR20,99,2149,4068,Mischfinanziert,600,600
Durchführungsweg, Art der Rückdeckung,FR20,99,0,4068,Mischfinanziert,1500,600
Durchführungsweg, Art der Rückdeckung,FR20,99,2148,4068,Mischfinanziert,1500,600
Durchführungsweg, Art der Rückdeckung,FR20,99,2149,2068,Mischfinanziert,1500,600
Durchführungsweg, Art der Rückdeckung,HR20,0,0,0,AG-finanziert,0,600
Durchführungsweg, Art der Rückdeckung,HR20,0,2148,2068,AG-finanziert,0,600
Durchführungsweg, Art der Rückdeckung,HR20,0,2149,4068,AG-finanziert,0,600
Durchführungsweg, Art der Rückdeckung,HR20,0,0,2068,Mischfinanziert,599,600
Durchführungsweg, Art der Rückdeckung,HR20,0,2148,0,Mischfinanziert,599,600
Durchführungsweg, Art der Rückdeckung,HR20,0,2149,0,Mischfinanziert,599,600
Durchführungsweg, Art der Rückdeckung,HR20,0,0,4068,Mischfinanziert,600,600
Durchführungsweg, Art der Rückdeckung,HR20,0,2148,4068,Mischfinanziert,600,600
Durchführungsweg, Art der Rückdeckung,HR20,0,2149,2068,Mischfinanziert,600,600
Durchführungsweg, Art der Rückdeckung,HR20,0,0,4068,Mischfinanziert,1500,600
Durchführungsweg, Art der Rückdeckung,HR20,0,2148,2068,Mischfinanziert,1500,600
Durchführungsweg, Art der Rückdeckung,HR20,0,2149,0,Mischfinanziert,1500,600
Durchführungsweg, Art der Rückdeckung,HR20,2000,0,2068,Mischfinanziert,0,600
Durchführungsweg, Art der Rückdeckung,HR20,2000,2148,0,Mischfinanziert,0,600
Durchführungsweg, Art der Rückdeckung,HR20,2000,2149,0,AG-finanziert,0,600
Durchführungsweg, Art der Rückdeckung,HR20,2000,0,0,Mischfinanziert,599,600
Durchführungsweg, Art der Rückdeckung,HR20,2000,2148,4068,Mischfinanziert,599,600
Durchführungsweg, Art der Rückdeckung,HR20,2000,2149,2068,Mischfinanziert,599,600
Durchführungsweg, Art der Rückdeckung,HR20,2000,0,4068,Mischfinanziert,600,600
Durchführungsweg, Art der Rückdeckung,HR20,2000,2148,0,Mischfinanziert,600,600
Durchführungsweg, Art der Rückdeckung,HR20,2000,2149,4068,Mischfinanziert,600,600
Durchführungsweg, Art der Rückdeckung,HR20,2000,0,2068,Mischfinanziert,1500,600
