# ACTS Test Suite Generation: Mon Dec 13 19:47:07 CET 2021
#  '*' represents don't care value 
# Degree of interaction coverage: 5
# Number of parameters: 7
# Maximum number of values per parameter: 7
# Number of configurations: 447
Tarif,Zuzahlung_zu_Beginn,Beitrag_40b,Beitrag_363,Durchfuehrungsweg,Art_der_Rueckdeckung,Beitrag
PK10,0,2149,4068,Pensionskasse,keine,299
PK10,2000,0,0,Pensionskasse,keine,299
PK10,2000,0,2068,Pensionskasse,keine,299
PK10,2000,0,4068,Pensionskasse,keine,299
PK10,2000,2148,0,Pensionskasse,keine,299
PK10,2000,2148,2068,Pensionskasse,keine,299
PK10,2000,2148,4068,Pensionskasse,keine,299
PK10,2000,2149,0,Pensionskasse,keine,299
PK10,2000,2149,2068,Pensionskasse,keine,299
PK10,2000,2149,4068,Pensionskasse,keine,299
PK10,299,0,0,Pensionskasse,keine,299
PK10,299,0,2068,Pensionskasse,keine,299
PK10,299,0,4068,Pensionskasse,keine,299
PK10,299,2148,0,Pensionskasse,keine,299
PK10,299,2148,2068,Pensionskasse,keine,299
PK10,299,2148,4068,Pensionskasse,keine,299
PK10,299,2149,0,Pensionskasse,keine,299
PK10,299,2149,2068,Pensionskasse,keine,299
PK10,299,2149,4068,Pensionskasse,keine,299
RVx,0,0,0,Direktzusage,Unterstuetzungskasse,299
RVx,2000,0,0,Direktzusage,Rueckdeckungsversicherung,299
RVx,299,0,0,Direktzusage,Rueckdeckungsversicherung,299
RVx,5001,0,0,Direktzusage,Rueckdeckungsversicherung,299
FR20,0,0,0,Direktzusage,Rueckdeckungsversicherung,5000
FR20,2000,0,0,Direktzusage,Rueckdeckungsversicherung,5000
FR20,99,0,0,Direktzusage,Rueckdeckungsversicherung,5000
FR20,299,0,0,Direktzusage,Rueckdeckungsversicherung,5000
FR20,5001,0,0,Direktzusage,Rueckdeckungsversicherung,5000
FR20,1000001,0,0,Direktzusage,Rueckdeckungsversicherung,5000
RVx,0,0,0,Direktzusage,Rueckdeckungsversicherung,5000
RVx,2000,0,0,Direktzusage,Rueckdeckungsversicherung,5000
RVx,299,0,0,Direktzusage,Rueckdeckungsversicherung,5000
RVx,5001,0,0,Direktzusage,Rueckdeckungsversicherung,5000
FR20,0,0,0,Direktzusage,Rueckdeckungsversicherung,24
FR20,2000,0,0,Direktzusage,Rueckdeckungsversicherung,24
FR20,99,0,0,Direktzusage,Rueckdeckungsversicherung,24
FR20,299,0,0,Direktzusage,Rueckdeckungsversicherung,24
FR20,5001,0,0,Direktzusage,Rueckdeckungsversicherung,24
FR20,1000001,0,0,Direktzusage,Rueckdeckungsversicherung,24
RVx,0,0,0,Direktzusage,Unterstuetzungskasse,24
AREven,0,0,0,Direktzusage,Rueckdeckungsversicherung,599
AREven,0,0,2068,Direktversicherung,keine,599
AREven,0,0,4068,Direktversicherung,keine,599
AREven,0,2148,0,Direktversicherung,keine,599
AREven,0,2148,2068,Direktversicherung,keine,599
AREven,0,2148,4068,Direktversicherung,keine,599
AREven,0,2149,0,Direktversicherung,keine,599
AREven,0,2149,2068,Direktversicherung,keine,599
AREven,0,2149,4068,Direktversicherung,keine,599
AREven,2000,0,0,Direktversicherung,keine,599
AREven,2000,0,2068,Direktversicherung,keine,599
AREven,2000,0,4068,Direktversicherung,keine,599
AREven,2000,2148,0,Direktversicherung,keine,599
AREven,2000,2148,2068,Direktversicherung,keine,599
AREven,2000,2148,4068,Direktversicherung,keine,599
AREven,2000,2149,0,Direktversicherung,keine,599
AREven,2000,2149,2068,Direktversicherung,keine,599
AREven,2000,2149,4068,Direktversicherung,keine,599
AREven,99,0,0,Direktversicherung,keine,599
AREven,99,0,2068,Direktversicherung,keine,599
AREven,99,0,4068,Direktversicherung,keine,599
AREven,99,2148,0,Direktversicherung,keine,599
AREven,99,2148,2068,Direktversicherung,keine,599
AREven,99,2148,4068,Direktversicherung,keine,599
AREven,99,2149,0,Direktversicherung,keine,599
AREven,99,2149,2068,Direktversicherung,keine,599
AREven,99,2149,4068,Direktversicherung,keine,599
AREven,1000001,0,0,Direktzusage,Rueckdeckungsversicherung,599
AROdd,0,0,0,Direktzusage,Rueckdeckungsversicherung,599
AROdd,2000,0,0,Direktzusage,Rueckdeckungsversicherung,599
AROdd,1000001,0,0,Direktzusage,Rueckdeckungsversicherung,599
FR20,0,0,0,Direktversicherung,keine,599
FR20,0,0,2068,Direktversicherung,keine,599
FR20,0,0,4068,Direktversicherung,keine,599
FR20,0,2148,0,Direktversicherung,keine,599
FR20,0,2148,2068,Direktversicherung,keine,599
FR20,0,2148,4068,Direktversicherung,keine,599
FR20,0,2149,0,Direktversicherung,keine,599
FR20,0,2149,2068,Direktversicherung,keine,599
FR20,0,2149,4068,Direktversicherung,keine,599
FR20,2000,0,0,Direktzusage,Rueckdeckungsversicherung,599
FR20,2000,0,2068,Direktversicherung,keine,599
FR20,2000,0,4068,Direktversicherung,keine,599
FR20,2000,2148,0,Direktversicherung,keine,599
FR20,2000,2148,2068,Direktversicherung,keine,599
FR20,2000,2148,4068,Direktversicherung,keine,599
FR20,2000,2149,0,Direktversicherung,keine,599
FR20,2000,2149,2068,Direktversicherung,keine,599
FR20,2000,2149,4068,Direktversicherung,keine,599
FR20,99,0,0,Direktzusage,Rueckdeckungsversicherung,599
FR20,99,0,2068,Direktversicherung,keine,599
FR20,99,0,4068,Direktversicherung,keine,599
FR20,99,2148,0,Direktversicherung,keine,599
FR20,99,2148,2068,Direktversicherung,keine,599
FR20,99,2148,4068,Direktversicherung,keine,599
FR20,99,2149,0,Direktversicherung,keine,599
FR20,99,2149,2068,Direktversicherung,keine,599
FR20,99,2149,4068,Direktversicherung,keine,599
FR20,299,0,0,Direktzusage,Rueckdeckungsversicherung,599
FR20,5001,0,0,Direktzusage,Rueckdeckungsversicherung,599
FR20,1000001,0,0,Direktzusage,Rueckdeckungsversicherung,599
HR20,0,0,0,Direktzusage,Unterstuetzungskasse,599
HR20,0,0,2068,Direktversicherung,keine,599
HR20,0,0,4068,Direktversicherung,keine,599
HR20,0,2148,0,Direktversicherung,keine,599
HR20,0,2148,2068,Direktversicherung,keine,599
HR20,0,2148,4068,Direktversicherung,keine,599
HR20,0,2149,0,Direktversicherung,keine,599
HR20,0,2149,2068,Direktversicherung,keine,599
HR20,0,2149,4068,Direktversicherung,keine,599
HR20,2000,0,0,Direktversicherung,keine,599
HR20,2000,0,2068,Direktversicherung,keine,599
HR20,2000,0,4068,Direktversicherung,keine,599
HR20,2000,2148,0,Direktversicherung,keine,599
HR20,2000,2148,2068,Direktversicherung,keine,599
HR20,2000,2148,4068,Direktversicherung,keine,599
HR20,2000,2149,0,Direktversicherung,keine,599
HR20,2000,2149,2068,Direktversicherung,keine,599
HR20,2000,2149,4068,Direktversicherung,keine,599
HR20,99,0,0,Direktversicherung,keine,599
HR20,99,0,2068,Direktversicherung,keine,599
HR20,99,0,4068,Direktversicherung,keine,599
HR20,99,2148,0,Direktversicherung,keine,599
HR20,99,2148,2068,Direktversicherung,keine,599
HR20,99,2148,4068,Direktversicherung,keine,599
HR20,99,2149,0,Direktversicherung,keine,599
HR20,99,2149,2068,Direktversicherung,keine,599
HR20,99,2149,4068,Direktversicherung,keine,599
HR20,1000001,0,0,Direktzusage,Rueckdeckungsversicherung,599
PK10,0,0,0,Pensionskasse,keine,599
PK10,0,0,2068,Pensionskasse,keine,599
PK10,0,0,4068,Pensionskasse,keine,599
PK10,0,2148,0,Pensionskasse,keine,599
PK10,0,2148,2068,Pensionskasse,keine,599
PK10,0,2148,4068,Pensionskasse,keine,599
PK10,0,2149,0,Pensionskasse,keine,599
PK10,0,2149,2068,Pensionskasse,keine,599
PK10,0,2149,4068,Pensionskasse,keine,599
PK10,2000,0,0,Pensionskasse,keine,599
PK10,2000,0,2068,Pensionskasse,keine,599
PK10,2000,0,4068,Pensionskasse,keine,599
PK10,2000,2148,0,Pensionskasse,keine,599
PK10,2000,2148,2068,Pensionskasse,keine,599
PK10,2000,2148,4068,Pensionskasse,keine,599
PK10,2000,2149,0,Pensionskasse,keine,599
PK10,2000,2149,2068,Pensionskasse,keine,599
PK10,2000,2149,4068,Pensionskasse,keine,599
PK10,299,0,0,Pensionskasse,keine,599
PK10,299,0,2068,Pensionskasse,keine,599
PK10,299,0,4068,Pensionskasse,keine,599
PK10,299,2148,0,Pensionskasse,keine,599
PK10,299,2148,2068,Pensionskasse,keine,599
PK10,299,2148,4068,Pensionskasse,keine,599
PK10,299,2149,0,Pensionskasse,keine,599
PK10,299,2149,2068,Pensionskasse,keine,599
PK10,299,2149,4068,Pensionskasse,keine,599
AREven,0,0,0,Direktzusage,Unterstuetzungskasse,125001
AREven,2000,0,0,Direktzusage,Rueckdeckungsversicherung,125001
AREven,1000001,0,0,Direktzusage,Rueckdeckungsversicherung,125001
AROdd,0,0,0,Direktzusage,Rueckdeckungsversicherung,125001
AROdd,2000,0,0,Direktzusage,Rueckdeckungsversicherung,125001
AROdd,1000001,0,0,Direktzusage,Rueckdeckungsversicherung,125001
FR20,0,0,0,Direktzusage,Rueckdeckungsversicherung,125001
FR20,2000,0,0,Direktzusage,Rueckdeckungsversicherung,125001
FR20,99,0,0,Direktzusage,Rueckdeckungsversicherung,125001
FR20,299,0,0,Direktzusage,Rueckdeckungsversicherung,125001
FR20,5001,0,0,Direktzusage,Rueckdeckungsversicherung,125001
FR20,1000001,0,0,Direktzusage,Rueckdeckungsversicherung,125001
HR20,0,0,0,Direktzusage,Rueckdeckungsversicherung,125001
HR20,2000,0,0,Direktzusage,Rueckdeckungsversicherung,125001
HR20,1000001,0,0,Direktzusage,Rueckdeckungsversicherung,125001
RVx,0,0,0,Direktzusage,Unterstuetzungskasse,125001
RVx,2000,0,0,Direktzusage,Rueckdeckungsversicherung,125001
RVx,299,0,0,Direktzusage,Rueckdeckungsversicherung,125001
RVx,5001,0,0,Direktzusage,Rueckdeckungsversicherung,125001
FR20,99,0,0,Direktversicherung,keine,599
AREven,0,0,0,Direktzusage,Unterstuetzungskasse,0
FR20,0,0,0,Direktzusage,Rueckdeckungsversicherung,600
FR20,0,0,0,Direktzusage,Rueckdeckungsversicherung,599
HR20,0,0,0,Direktzusage,Unterstuetzungskasse,600
AREven,2000,0,0,Direktzusage,Rueckdeckungsversicherung,600
AREven,2000,0,0,Direktzusage,Rueckdeckungsversicherung,599
FR20,2000,0,0,Direktzusage,Rueckdeckungsversicherung,0
HR20,2000,0,0,Direktzusage,Rueckdeckungsversicherung,0
HR20,2000,0,0,Direktzusage,Rueckdeckungsversicherung,599
AREven,0,0,0,Direktzusage,Unterstuetzungskasse,599
HR20,0,0,0,Direktzusage,Unterstuetzungskasse,125001
AREven,0,0,0,Direktzusage,Rueckdeckungsversicherung,0
AREven,0,0,0,Direktzusage,Rueckdeckungsversicherung,600
AREven,0,0,0,Direktzusage,Rueckdeckungsversicherung,125001
HR20,0,0,0,Direktzusage,Rueckdeckungsversicherung,0
HR20,0,0,0,Direktzusage,Rueckdeckungsversicherung,600
HR20,0,0,0,Direktzusage,Rueckdeckungsversicherung,599
RVx,0,0,0,Direktzusage,Rueckdeckungsversicherung,0
RVx,0,0,0,Direktzusage,Rueckdeckungsversicherung,299
RVx,0,0,0,Direktzusage,Rueckdeckungsversicherung,125001
